"title","artiste_name","video","audio","views","likes","comments","like_pct","comment_pct","engagement_rate","promotion_priority"
"Hater Gone (Audio Slide)","Shatta Wale","",1,22281,413,40,"1.85","0.18","2.03","Not a priority"
"Must Get Rich (Audio Slide)","Shatta Wale","",1,23229,434,38,"1.87","0.16","2.03","Not a priority"
"F.U.Ck.I.N.G (Audio Slide)","Shatta Wale","",1,30550,545,48,"1.78","0.16","1.94","Not a priority"
"Inna Dancehall [Rave Riddim] (Official Video)","Shatta Wale",1,"",281462,3296,227,"1.17","0.08","1.25","Not a priority"
"My Queen Ft. Aidonia (Audio Slide)","Shatta Wale","",1,47798,1019,109,"2.13","0.23","2.36","Not a priority"
"Fool Is The Last To Know (Official Video)","Shatta Wale",1,"",636962,6665,574,"1.05","0.09","1.14","Not a priority"
"Dem Confuse (Official Video)","Shatta Wale",1,"",5463228,30102,1577,"0.55","0.03","0.58","Not a priority"
"Control Ghana Ft. Addi Self & Captan (Audio Slide)","Shatta Wale","",1,267912,2426,169,"0.91","0.06","0.97","Not a priority"
"Mayatra Ft. Pope Skinny (Official Video)","Shatta Wale",1,"",594260,6187,439,"1.04","0.07","1.12","Not a priority"
"Dance Baby [Savage Life Riddim] (Audio Slide)","Shatta Wale","",1,24572,420,55,"1.71","0.22","1.93","Not a priority"
"Bag A Money (Audio Slide)","Shatta Wale","",1,27651,554,57,"2.00","0.21","2.21","Not a priority"
"It'S My Life [Sarkodie Diss] (Audio Slide)","Shatta Wale","",1,363329,4146,212,"1.14","0.06","1.20","Not a priority"
"Lousika - D3D33De (Official Video)","Shatta Wale",1,"",49686,682,81,"1.37","0.16","1.54","Not a priority"
"Neighborhood Hero (Audio Slide)","Shatta Wale","",1,61115,837,85,"1.37","0.14","1.51","Not a priority"
"Waitti (Audio Slide)","Shatta Wale","",1,58696,706,69,"1.20","0.12","1.32","Not a priority"
"Bulletproof (Audio Slide)","Shatta Wale","",1,348912,2706,183,"0.78","0.05","0.83","Not a priority"
"Penalty (Audio Slide)","Shatta Wale","",1,131815,1698,186,"1.29","0.14","1.43","Not a priority"
"4Lyf Mi Sey (Audio Slide)","Shatta Wale","",1,34608,572,57,"1.65","0.16","1.82","Not a priority"
"Shut Up Ft. Pope Skinny (Audio Slide)","Shatta Wale","",1,49139,613,31,"1.25","0.06","1.31","Not a priority"
"These Times (Audio Slide)","Shatta Wale","",1,25674,489,43,"1.90","0.17","2.07","Not a priority"
"Tamale (Audio Slide)","Shatta Wale","",1,95766,1235,87,"1.29","0.09","1.38","Not a priority"
"Magazine Release (Audio Slide)","Shatta Wale","",1,19124,374,55,"1.96","0.29","2.24","Not a priority"
"Go Shordy Ft. Majesty & Shatta Michy (Audio Slide)","Shatta Wale","",1,169373,2282,240,"1.35","0.14","1.49","Not a priority"
"Lousika Ft. Opampam (Official Video)","Shatta Wale",1,"",1197982,9692,532,"0.81","0.04","0.85","Not a priority"
"Level (Audio Slide)","Shatta Wale","",1,288747,2421,182,"0.84","0.06","0.90","Not a priority"
"Dancehall Girl (Explicit) [Audio Slide]","Shatta Wale","",1,45919,744,76,"1.62","0.17","1.79","Not a priority"
"Ma Chargie 100% (Audio Slide)","Shatta Wale","",1,191250,2172,211,"1.14","0.11","1.25","Not a priority"
"Maxwell Adam Mahama [Justice For Mahama] (Audio Slide)","Shatta Wale","",1,335669,4461,456,"1.33","0.14","1.46","Not a priority"
"Forgetti Ft. Joint 77, Addi Self, Pope Skinny, Captan & Natty Lee (Official Video)","Shatta Wale",1,"",8307009,30339,1390,"0.37","0.02","0.38","Not a priority"
"Victoria Ft. Duke D2 (Audio Slide)","Shatta Wale","",1,22561,330,15,"1.46","0.07","1.53","Not a priority"
"Bleed N Run (Audio Slide)","Shatta Wale","",1,27681,608,56,"2.20","0.20","2.40","Not a priority"
"Stop Talk (Audio Slide)","Shatta Wale","",1,25780,463,66,"1.80","0.26","2.05","Not a priority"
"Real Monster (Audio Slide)","Shatta Wale","",1,205562,2705,210,"1.32","0.10","1.42","Not a priority"
"Shatta Wale – High Like Heaven (Audio Slide)","Shatta Wale","",1,57384,901,85,"1.57","0.15","1.72","Not a priority"
"My Guy (Audio Slide)","Shatta Wale","",1,47398,609,43,"1.28","0.09","1.38","Not a priority"
"Come Get Me (Audio Slide)","Shatta Wale","",1,35376,516,40,"1.46","0.11","1.57","Not a priority"
"Shatta Wale Ft Shatta Michy - Low Tempo (Official Video)","Shatta Wale",1,"",6843397,31678,1565,"0.46","0.02","0.49","Not a priority"
"Free We (Audio Slides)","Shatta Wale","",1,31741,772,102,"2.43","0.32","2.75","Not a priority"
"Hope (Audio Slide)","Shatta Wale","",1,51250,1231,110,"2.40","0.21","2.62","Not a priority"
"You Shock Me (Audio Slide)","Shatta Wale","",1,191838,1910,129,"1.00","0.07","1.06","Not a priority"
"Paper (Audio Slide)","Shatta Wale","",1,39434,508,45,"1.29","0.11","1.40","Not a priority"
"Adwoa Ft. Pope Skinny (Audio Slides)","Shatta Wale","",1,20910,181,26,"0.87","0.12","0.99","Not a priority"
"Dem Confuse (Audio Slide)","Shatta Wale","",1,128435,1246,32,"0.97","0.02","1.00","Not a priority"
"Bandana (Shatta Wale) - Shatta City (Official Video)","Shatta Wale",1,"",209128,2191,124,"1.05","0.06","1.11","Not a priority"
"Too Late (Audio Slide)","Shatta Wale","",1,87374,1852,227,"2.12","0.26","2.38","Not a priority"
"Umbrella (Official Video)","Shatta Wale",1,"",3110812,20607,1022,"0.66","0.03","0.70","Not a priority"
"Allo Ft. Kwaw Kese (Audio Slide)","Shatta Wale","",1,714257,5298,356,"0.74","0.05","0.79","Not a priority"
"Bumper (Official Video)","Shatta Wale",1,"",11435852,27619,1086,"0.24","0.01","0.25","Not a priority"
"Caan Stop Me [Tanzanite Riddim] (Audio Slide)","Shatta Wale","",1,103580,1860,203,"1.80","0.20","1.99","Not a priority"
"London Girls (Audio Slide)","Shatta Wale","",1,429251,3368,222,"0.78","0.05","0.84","Not a priority"
"Ayoo (Official Video)","Shatta Wale",1,"",19884699,87486,4084,"0.44","0.02","0.46","Not a priority"
"Taking Over Ft. Joint 77, Addi Self & Captan (Official Video","Shatta Wale",1,"",26073872,114436,5184,"0.44","0.02","0.46","Not a priority"
"Comfortable Lead (Audio Slide)","Shatta Wale","",1,55483,780,74,"1.41","0.13","1.54","Not a priority"
"Am Blessed (Audio Slide)","Shatta Wale","",1,50140,695,40,"1.39","0.08","1.47","Not a priority"
"Ayoo (Audio Slide)","Shatta Wale","",1,250669,1829,185,"0.73","0.07","0.80","Not a priority"
"I Run Ghana (Audio Slide)","Shatta Wale","",1,33130,436,55,"1.32","0.17","1.48","Not a priority"
"Aplanke (Audio Slide)","Shatta Wale","",1,60664,782,53,"1.29","0.09","1.38","Not a priority"
"Mayaa Tra [Been There Done That] Ft. Pope Skinny (Audio Slide)","Shatta Wale","",1,40653,437,54,"1.07","0.13","1.21","Not a priority"
"Open N Close (Audio Slide)","Shatta Wale","",1,42545,622,37,"1.46","0.09","1.55","Not a priority"
"One Man Killer (Audio Slide)","Shatta Wale","",1,53180,836,54,"1.57","0.10","1.67","Not a priority"
"Skin Pain (Audio Slide)","Shatta Wale","",1,52507,586,36,"1.12","0.07","1.18","Not a priority"
"Say Fi (Audio Slide)","Shatta Wale","",1,97675,1071,57,"1.10","0.06","1.15","Not a priority"
"Likes (Audio Slide)","Shatta Wale","",1,52643,976,63,"1.85","0.12","1.97","Not a priority"
"Where U Deh (Audio Slide)","Shatta Wale","",1,199623,1696,137,"0.85","0.07","0.92","Not a priority"
"Kasoa (Audio Slide)","Shatta Wale","",1,18574,302,28,"1.63","0.15","1.78","Not a priority"
"Life Changer (Audio Slide)","Shatta Wale","",1,19531,235,14,"1.20","0.07","1.27","Not a priority"
"You Chop? (Audio Slide)","Shatta Wale","",1,34285,520,30,"1.52","0.09","1.60","Not a priority"
"Aliko Dangote (Audio Slide)","Shatta Wale","",1,20230,398,12,"1.97","0.06","2.03","Not a priority"
"Ghetto Star Ft. Addi Self (Audio Slide)","Shatta Wale","",1,19125,369,23,"1.93","0.12","2.05","Not a priority"
"Umbrella (Audio Slide)","Shatta Wale","",1,56534,513,40,"0.91","0.07","0.98","Not a priority"
"Omg (Audio Slide)","Shatta Wale","",1,17182,217,17,"1.26","0.10","1.36","Not a priority"
"Saturday Nite (Audio Slide)","Shatta Wale","",1,5137,90,12,"1.75","0.23","1.99","Not a priority"
"The Order (Audio Slide)","Shatta Wale","",1,27764,557,45,"2.01","0.16","2.17","Not a priority"
"Hosanna Ft. Burna Boy (Audio Slide)","Shatta Wale","",1,285431,2377,64,"0.83","0.02","0.86","Not a priority"
"Shatta Police (Audio Slide)","Shatta Wale","",1,45907,456,20,"0.99","0.04","1.04","Not a priority"
"Gangsta No Deh Call Police [Ara B Diss] (Audio Slide)","Shatta Wale","",1,264537,2785,142,"1.05","0.05","1.11","Not a priority"
"So Sad (Audio Slide)","Shatta Wale","",1,34156,639,55,"1.87","0.16","2.03","Not a priority"
"Rapture (Official Video)","Shatta Wale",1,"",498310,5881,421,"1.18","0.08","1.26","Not a priority"
"Strongman (Official Video)","Shatta Wale",1,"",333742,3115,158,"0.93","0.05","0.98","Not a priority"
"Real Badman [Death Warrant Riddim] (Audio Slide)","Shatta Wale","",1,21880,431,39,"1.97","0.18","2.15","Not a priority"
"Don'T Go There (Official Video)","Shatta Wale",1,"",873544,6621,361,"0.76","0.04","0.80","Not a priority"
"Shatta Wale – Go Mad Ft. Joint 77 (Audio Slide)","Shatta Wale","",1,54116,648,21,"1.20","0.04","1.24","Not a priority"
"Shatta Wale X Sarkodie - Ghetto Youth (Audio Slide)","Shatta Wale","",1,17861,268,19,"1.50","0.11","1.61","Not a priority"
"Shatta Wale – Evil Ft. Shatta Michy (Audio Slide)","Shatta Wale","",1,44137,436,33,"0.99","0.07","1.06","Not a priority"
"Shatta Wale – Run Dem Mouth (Audio Slide)","Shatta Wale","",1,7905,139,9,"1.76","0.11","1.87","Not a priority"
"Nana Vs Mahama (Audio Slide)","Shatta Wale","",1,105321,1763,87,"1.67","0.08","1.76","Not a priority"
"Shatta Wale – Mechanism (Audio Slide)","Shatta Wale","",1,7967,102,4,"1.28","0.05","1.33","Not a priority"
"Shatta Wale – Who Win (Audio Slide)","Shatta Wale","",1,12516,226,11,"1.81","0.09","1.89","Not a priority"
"Shatta Wale – Kokooyi [Scary] (Audio Slide)","Shatta Wale","",1,9033,123,15,"1.36","0.17","1.53","Not a priority"
"Bronya [Christmas] (Audio Slide)","Shatta Wale","",1,80759,1243,102,"1.54","0.13","1.67","Not a priority"
"Mechanism (Official Video)","Shatta Wale",1,"",637405,5738,382,"0.90","0.06","0.96","Not a priority"
"Shatta Wale – Planner (Audio Slide)","Shatta Wale","",1,6467,116,15,"1.79","0.23","2.03","Not a priority"
"Dem Never Bad (Audio Slide)","Shatta Wale","",1,15760,250,14,"1.59","0.09","1.68","Not a priority"
"Salala Nigga Ft. Pope Skinny (Audio Slide)","Shatta Wale","",1,23053,299,25,"1.30","0.11","1.41","Not a priority"
"Gym Your Pocket (Audio Slide)","Shatta Wale","",1,61546,1027,85,"1.67","0.14","1.81","Not a priority"
"Battyman Play (Audio Slide)","Shatta Wale","",1,8786,162,15,"1.84","0.17","2.01","Not a priority"
"Mr Bad Mind (Audio Slide)","Shatta Wale","",1,53989,1101,104,"2.04","0.19","2.23","Not a priority"
"Shatta Wale – Sm Gad (Audio Slide)","Shatta Wale","",1,25636,1067,126,"4.16","0.49","4.65","Not a priority"
"Sm Girls & Boys (Audio Slide)","Shatta Wale","",1,10974,287,28,"2.62","0.26","2.87","Not a priority"
"Hear We Out (Audio Slide)","Shatta Wale","",1,29028,780,61,"2.69","0.21","2.90","Not a priority"
"Gunshot (Audio Slide)","Shatta Wale","",1,9098,101,5,"1.11","0.05","1.17","Not a priority"
"Shatta Wale – Don’T You Want It (Audio Slide)","Shatta Wale","",1,5230,159,10,"3.04","0.19","3.23","Not a priority"
"Shatta Wale – Freemason (Audio Slide)","Shatta Wale","",1,12913,267,23,"2.07","0.18","2.25","Not a priority"
"A Nima Mi Seh (Audio Slide)","Shatta Wale","",1,80808,1316,61,"1.63","0.08","1.70","Not a priority"
"Pussy Mad (Audio Slide)","Shatta Wale","",1,17974,189,11,"1.05","0.06","1.11","Not a priority"
"Shatta Wale – Come Ova (Audio Slide)","Shatta Wale","",1,4823,109,7,"2.26","0.15","2.41","Not a priority"
"Don'T Be Silly (Audio Slide)","Shatta Wale","",1,8125,219,16,"2.70","0.20","2.89","Not a priority"
"Shatta Wale – Happy Birthday (Audio Slide)","Shatta Wale","",1,31557,334,10,"1.06","0.03","1.09","Not a priority"
"Pussy Tighter (Audio Slide)","Shatta Wale","",1,14901,209,17,"1.40","0.11","1.52","Not a priority"
"Everywhere Wi A Party (Audio Slide)","Shatta Wale","",1,4133,72,5,"1.74","0.12","1.86","Not a priority"
"Mr No Nonsense (Audio Slide)","Shatta Wale","",1,9405,218,14,"2.32","0.15","2.47","Not a priority"
"Shatta Wale – Fe Di Money (Audio Slide)","Shatta Wale","",1,7201,152,13,"2.11","0.18","2.29","Not a priority"
"Fe Di Paypa (Audio Slide)","Shatta Wale","",1,21612,463,29,"2.14","0.13","2.28","Not a priority"
"Aroma (Audio Slide)","Shatta Wale","",1,4656,84,5,"1.80","0.11","1.91","Not a priority"
"Am Da One (Audio Slide)","Shatta Wale","",1,5813,125,6,"2.15","0.10","2.25","Not a priority"
"Rasta Dub (Audio Slide)","Shatta Wale","",1,7148,189,12,"2.64","0.17","2.81","Not a priority"
"Ice Cream Shop [Explicit] (Audio Slide)","Shatta Wale","",1,9733,263,28,"2.70","0.29","2.99","Not a priority"
"Mi Rich (Audio Slide)","Shatta Wale","",1,11356,151,16,"1.33","0.14","1.47","Not a priority"
"Shatta Wale – Some Friend Dem (Audio Slide)","Shatta Wale","",1,37757,746,71,"1.98","0.19","2.16","Not a priority"
"Nun A Gwan (Audio Slide)","Shatta Wale","",1,52580,833,96,"1.58","0.18","1.77","Not a priority"
"Stinky Mouth (Audio Slide)","Shatta Wale","",1,49249,1037,107,"2.11","0.22","2.32","Not a priority"
"On Dem (Audio Slide)","Shatta Wale","",1,16450,566,54,"3.44","0.33","3.77","Not a priority"
"Throw Back Ft. Joint 77 (Audio Slide)","Shatta Wale","",1,5312,120,9,"2.26","0.17","2.43","Not a priority"
"Do Tingz Right (Audio Slide)","Shatta Wale","",1,25594,391,48,"1.53","0.19","1.72","Not a priority"
"Shatta Wale – Do Road (Audio Slide)","Shatta Wale","",1,16787,321,25,"1.91","0.15","2.06","Not a priority"
"Maza Maza (Audio Slide)","Shatta Wale","",1,4846,79,5,"1.63","0.10","1.73","Not a priority"
"Winner Stay (Audio Slide)","Shatta Wale","",1,22154,294,25,"1.33","0.11","1.44","Not a priority"
"Akwei Daawa [Got Money] (Audio Slide)","Shatta Wale","",1,3278,45,1,"1.37","0.03","1.40","Not a priority"
"Shatta Wale – Papa Twitter [Samini Reply] (Audio Slide)","Shatta Wale","",1,10787,213,19,"1.97","0.18","2.15","Not a priority"
"Rise My Gun (Audio Slide)","Shatta Wale","",1,8878,191,24,"2.15","0.27","2.42","Not a priority"
"Ejuma No Esi [Samini Diss] (Audio Slide)","Shatta Wale","",1,8327,202,9,"2.43","0.11","2.53","Not a priority"
"Gh One Fuck You (Audio Slide)","Shatta Wale","",1,23056,620,41,"2.69","0.18","2.87","Not a priority"
"Shatta Wale – Money Power Ft. Guru (Audio Slide)","Shatta Wale","",1,107437,1142,65,"1.06","0.06","1.12","Not a priority"
"Shatta Wale Ft. Davido - Wine Your Waist (Audio Slide)","Shatta Wale","",1,420670,4651,356,"1.11","0.08","1.19","Not a priority"
"Kpuu Kpaa (Audio Slide)","Shatta Wale","",1,232728,2745,174,"1.18","0.07","1.25","Not a priority"
"World Champion (Audio Slide)","Shatta Wale","",1,9938,219,13,"2.20","0.13","2.33","Not a priority"
"Don’T Go There (Audio Slide)","Shatta Wale","",1,8119,114,6,"1.40","0.07","1.48","Not a priority"
"Fuufuu Kwa [Mouth Mouth] (Audio Slide)","Shatta Wale","",1,26345,446,44,"1.69","0.17","1.86","Not a priority"
"Shatta Wale – Bad Ft. Rock Steady (Audio Slide)","Shatta Wale","",1,11334,224,11,"1.98","0.10","2.07","Not a priority"
"Gi Mi Ft. Ara B & Joint 77 (Audio Slide)","Shatta Wale","",1,7402,131,8,"1.77","0.11","1.88","Not a priority"
"Message Of Sympathy (Audio Slide)","Shatta Wale","",1,28007,228,16,"0.81","0.06","0.87","Not a priority"
"Shatta Wale – Dem Don'T Know Mi (Audio Slide)","Shatta Wale","",1,41095,1016,77,"2.47","0.19","2.66","Not a priority"
"Shatta Wale – Go Mingle Ft. Flowking Stone (Audio Slide)","Shatta Wale","",1,9106,175,7,"1.92","0.08","2.00","Not a priority"
"Show Me (Audio Slide)","Shatta Wale","",1,19530,355,24,"1.82","0.12","1.94","Not a priority"
"Halleluyah [I Am Da Future] (Audio Slide)","Shatta Wale","",1,151903,2158,239,"1.42","0.16","1.58","Not a priority"
"Tsoobi [Doll] (Audio Slide)","Shatta Wale","",1,8674,166,11,"1.91","0.13","2.04","Not a priority"
"Shatta Wale – Buss Dem Throat (Audio Slide)","Shatta Wale","",1,5868,154,7,"2.62","0.12","2.74","Not a priority"
"Scam Dem (Audio Slide)","Shatta Wale","",1,88124,1323,92,"1.50","0.10","1.61","Not a priority"
"By Force (Audio Slide)","Shatta Wale","",1,23590,389,19,"1.65","0.08","1.73","Not a priority"
"Zinabu (Audio Slide)","Shatta Wale","",1,48166,549,29,"1.14","0.06","1.20","Not a priority"
"Cocoa Season (Official Video)","Shatta Wale",1,"",969798,8038,426,"0.83","0.04","0.87","Not a priority"
"Your Culture (Audio Slide)","Shatta Wale","",1,12988,274,33,"2.11","0.25","2.36","Not a priority"
"Blogger (Audio Slide)","Shatta Wale","",1,7259,144,4,"1.98","0.06","2.04","Not a priority"
"Talk Talk (Audio Slide)","Shatta Wale","",1,297496,3375,290,"1.13","0.10","1.23","Not a priority"
"Bossu (Audio Slide)","Shatta Wale","",1,94626,1075,93,"1.14","0.10","1.23","Not a priority"
"Our Names (Audio Slide)","Shatta Wale","",1,5544,121,16,"2.18","0.29","2.47","Not a priority"
"Longtime [Samini Diss] (Audio Slide)","Shatta Wale","",1,102311,1903,172,"1.86","0.17","2.03","Not a priority"
"Likkle Time (Audio Slide)","Shatta Wale","",1,4674,93,8,"1.99","0.17","2.16","Not a priority"
"Shatta Wale – Luv Mi Suh Ft. Addi Self (Audio Slide)","Shatta Wale","",1,13866,271,15,"1.95","0.11","2.06","Not a priority"
"Prove You Wrong [Reply To Charter House] (Audio Slide)","Shatta Wale","",1,16086,211,12,"1.31","0.07","1.39","Not a priority"
"Come To My Room (Official Video)","Shatta Wale",1,"",35241,693,32,"1.97","0.09","2.06","Not a priority"
"Gal Wuk It (Audio Slide)","Shatta Wale","",1,3557,48,4,"1.35","0.11","1.46","Not a priority"
"Havanna (Audio Slide)","Shatta Wale","",1,56170,896,76,"1.60","0.14","1.73","Not a priority"
"Shorty Wan Go (Audio Slide)","Shatta Wale","",1,6435,112,10,"1.74","0.16","1.90","Not a priority"
"Don'T Hate Mi (Audio Slide)","Shatta Wale","",1,12201,225,12,"1.84","0.10","1.94","Not a priority"
"I Won'T Be A Broke Nigga (Audio Slide)","Shatta Wale","",1,4462,75,6,"1.68","0.13","1.82","Not a priority"
"You Want It (Audio Slide)","Shatta Wale","",1,182191,2250,291,"1.23","0.16","1.39","Not a priority"
"Bun Badmind (Audio Slide)","Shatta Wale","",1,5402,102,7,"1.89","0.13","2.02","Not a priority"
"Psy Go Gaga (Audio Slide)","Shatta Wale","",1,10113,81,3,"0.80","0.03","0.83","Not a priority"
"I Like You (Audio Slide)","Shatta Wale","",1,2789,34,3,"1.22","0.11","1.33","Not a priority"
"Pretty Body (Audio Slide)","Shatta Wale","",1,3279,46,4,"1.40","0.12","1.52","Not a priority"
"More Cash (Audio Slide)","Shatta Wale","",1,2210,56,2,"2.53","0.09","2.62","Not a priority"
"Speed Up (Audio Slide)","Shatta Wale","",1,3782,61,3,"1.61","0.08","1.69","Not a priority"
"State Burial (Audio Slide)","Shatta Wale","",1,10023,182,14,"1.82","0.14","1.96","Not a priority"
"Pon Dem Face Real Fakers (Audio Slide)","Shatta Wale","",1,6118,84,2,"1.37","0.03","1.41","Not a priority"
"Police And Ghetto (Audio Slide)","Shatta Wale","",1,16622,317,31,"1.91","0.19","2.09","Not a priority"
"Dem Sell Out (Audio Slide)","Shatta Wale","",1,7081,115,8,"1.62","0.11","1.74","Not a priority"
"Nuh Give Up (Audio Slide)","Shatta Wale","",1,10128,266,14,"2.63","0.14","2.76","Not a priority"
"Higher Learning [Explicit] (Audio Slide)","Shatta Wale","",1,6618,126,7,"1.90","0.11","2.01","Not a priority"
"Sixth Letter To Samini (Audio Slide)","Shatta Wale","",1,150271,1923,142,"1.28","0.09","1.37","Not a priority"
"Baddy Bang (Audio Slide)","Shatta Wale","",1,22639,237,5,"1.05","0.02","1.07","Not a priority"
"Letter To Sarkodie (Audio Slide)","Shatta Wale","",1,62151,1246,98,"2.00","0.16","2.16","Not a priority"
"Bandana Wor Man Ner Our Country (Audio Slide)","Shatta Wale","",1,58133,880,100,"1.51","0.17","1.69","Not a priority"
"Clean Gyal (Audio Slide)","Shatta Wale","",1,4280,79,13,"1.85","0.30","2.15","Not a priority"
"Corolla S (Audio Slide)","Shatta Wale","",1,4646,81,10,"1.74","0.22","1.96","Not a priority"
"You Wan It (Audio Slide)","Shatta Wale","",1,2930,53,3,"1.81","0.10","1.91","Not a priority"
"Caan Take Me Out (Audio Slide)","Shatta Wale","",1,7528,120,10,"1.59","0.13","1.73","Not a priority"
"Mi Tell Dem Again (Audio Slide)","Shatta Wale","",1,12796,286,13,"2.24","0.10","2.34","Not a priority"
"Ukwu (Audio Slide)","Shatta Wale","",1,15148,268,20,"1.77","0.13","1.90","Not a priority"
"Fa Wo Wor Mi (Audio Slide)","Shatta Wale","",1,4502,82,7,"1.82","0.16","1.98","Not a priority"
"Bandana [Shatta Wale] - One Girl (Audio Slide)","Shatta Wale","",1,21785,307,29,"1.41","0.13","1.54","Not a priority"
"Bandana (Shatta Wale) - Ice Cream (Official Video)","Shatta Wale",1,"",109739,2227,137,"2.03","0.12","2.15","Not a priority"
"Shatta Wale – Am An Eagle (Audio Slide)","Shatta Wale","",1,75104,1585,135,"2.11","0.18","2.29","Not a priority"
"Everybody Likes My Tin (Audio Slide)","Shatta Wale","",1,6945,77,3,"1.11","0.04","1.15","Not a priority"
"Nuh Fear Dem (Audio Slide)","Shatta Wale","",1,11791,154,6,"1.31","0.05","1.36","Not a priority"
"After The Storm [Intro] (Audio Slide)","Shatta Wale","",1,74988,684,41,"0.91","0.05","0.97","Not a priority"
"For The Money (Audio Slide)","Shatta Wale","",1,59193,513,21,"0.87","0.04","0.90","Not a priority"
"What You Want (Audio Slide)","Shatta Wale","",1,35804,227,6,"0.63","0.02","0.65","Not a priority"
"Mahama Paper (Audio Slide)","Shatta Wale","",1,228626,1691,85,"0.74","0.04","0.78","Not a priority"
"Baby [Chop Kiss] (Audio Slide)","Shatta Wale","",1,110322,872,18,"0.79","0.02","0.81","Not a priority"
"Kakai (Audio Slide)","Shatta Wale","",1,36768,280,11,"0.76","0.03","0.79","Not a priority"
"Bie Gya [Radio Version] (Audio Slide)","Shatta Wale","",1,9059,62,1,"0.68","0.01","0.70","Not a priority"
"If I Collect (Audio Slide)","Shatta Wale","",1,86517,869,53,"1.00","0.06","1.07","Not a priority"
"Am Ok (Audio Slide)","Shatta Wale","",1,45617,454,38,"1.00","0.08","1.08","Not a priority"
"Reality (Audio Slide)","Shatta Wale","",1,17428,141,10,"0.81","0.06","0.87","Not a priority"
"Chairman (Audio Slide)","Shatta Wale","",1,32196,330,16,"1.02","0.05","1.07","Not a priority"
"Champion (Audio Slide)","Shatta Wale","",1,44285,430,29,"0.97","0.07","1.04","Not a priority"
"Dancehall King (Audio Slide)","Shatta Wale","",1,39093,264,12,"0.68","0.03","0.71","Not a priority"
"Lock The City (Audio Slide)","Shatta Wale","",1,34911,445,25,"1.27","0.07","1.35","Not a priority"
"Hol' It (Audio Slide)","Shatta Wale","",1,39546,423,28,"1.07","0.07","1.14","Not a priority"
"Money & Dancehall (Audio Slide)","Shatta Wale","",1,72716,773,44,"1.06","0.06","1.12","Not a priority"
"Prove You Wrong (Official Video)","Shatta Wale",1,"",2006721,17374,1281,"0.87","0.06","0.93","Not a priority"
"Like A King (Audio Slide)","Shatta Wale","",1,71722,1127,126,"1.57","0.18","1.75","Not a priority"
"Kill Dem Wif Prayers (Audio Slide)","Shatta Wale","",1,95874,869,41,"0.91","0.04","0.95","Not a priority"
"Ayele (Audio Slide)","Shatta Wale","",1,58405,627,23,"1.07","0.04","1.11","Not a priority"
"Tell Me A Lie (Audio Slide)","Shatta Wale","",1,57238,626,23,"1.09","0.04","1.13","Not a priority"
"Too Much Chemikal (Audio Slide)","Shatta Wale","",1,34422,382,18,"1.11","0.05","1.16","Not a priority"
"Afta Di Storm (Audio Slide)","Shatta Wale","",1,85466,922,47,"1.08","0.05","1.13","Not a priority"
"Pull Wi Down (Official Video)","Shatta Wale",1,"",445371,4977,276,"1.12","0.06","1.18","Not a priority"
"Obordorbidi (Audio Slide)","Shatta Wale","",1,705748,4833,245,"0.68","0.03","0.72","Not a priority"
"Stamina (Audio Slide)","Shatta Wale","",1,12936,212,9,"1.64","0.07","1.71","Not a priority"
"Shatta Wale – Dem Fraid (Audio Slide)","Shatta Wale","",1,8564,211,16,"2.46","0.19","2.65","Not a priority"
"Shatta Wale – Pree Mi Era (Audio Slide)","Shatta Wale","",1,6864,182,15,"2.65","0.22","2.87","Not a priority"
"Shatta Wale – Run (Audio Slide)","Shatta Wale","",1,4644,85,16,"1.83","0.34","2.17","Not a priority"
"Ghost (Audio Slide)","Shatta Wale","",1,21763,525,54,"2.41","0.25","2.66","Not a priority"
"Shatta Wale – Yawa (Audio Slide)","Shatta Wale","",1,185987,1965,128,"1.06","0.07","1.13","Not a priority"
"Mama (Audio Slide)","Shatta Wale","",1,66867,1382,90,"2.07","0.13","2.20","Not a priority"
"Shatta Wale – Local Champion (Audio Slide)","Shatta Wale","",1,30420,467,23,"1.54","0.08","1.61","Not a priority"
"Free Up Di Gaza (Audio Slide)","Shatta Wale","",1,130846,3270,367,"2.50","0.28","2.78","Not a priority"
"Run (Official Video)","Shatta Wale",1,"",140357,1929,129,"1.37","0.09","1.47","Not a priority"
"Warn Dem (Official Video)","Shatta Wale",1,"",367321,4862,365,"1.32","0.10","1.42","Not a priority"
"Don'T Try [Criss Waddle Diss] (Audio Slide)","Shatta Wale","",1,509050,4376,324,"0.86","0.06","0.92","Not a priority"
"Cocoa Season (Audio Slide)","Shatta Wale","",1,83528,649,29,"0.78","0.03","0.81","Not a priority"
"Shatta Wale – Bedroom Toy Feat. Mimi (Audio Slide)","Shatta Wale","",1,8647,166,14,"1.92","0.16","2.08","Not a priority"
"Shatta Wale – Tail Light (Audio Slide)","Shatta Wale","",1,97806,1049,81,"1.07","0.08","1.16","Not a priority"
"Warn Dem (Audio Slide)","Shatta Wale","",1,6974,109,12,"1.56","0.17","1.74","Not a priority"
"Dem A Fite Ghana (Audio Slide)","Shatta Wale","",1,58832,637,38,"1.08","0.06","1.15","Not a priority"
"Bingo (Audio Slide)","Shatta Wale","",1,16023,343,51,"2.14","0.32","2.46","Not a priority"
"Shatta Wale – Wumaami Tw3 Ft. S. A (Audio Slide)","Shatta Wale","",1,91049,955,176,"1.05","0.19","1.24","Not a priority"
